scenario,pool_x,pool_y,fee,victim_v,slippage,attacker_in,attacker_profit,victim_actual_out,victim_min_out,victim_extra_loss,reverted,price_after_front,is_optimal
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,1073.7418760429425,-6.364854904509912,966.4277327963641,977.2864540530907,20.730301600697203,1,0.9788973503304116,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,1083.9679891481135,-6.424826393107878,966.2334511748089,977.2864540530907,20.92458322225241,1,0.9786995948317483,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,1094.1941022532844,-6.484785820862498,966.0392281324428,977.2864540530907,21.11880626461857,1,0.978501899252518,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,1104.4202153584552,-6.544733191411524,965.8450636457184,977.2864540530907,21.31297075134296,1,0.9783042635685161,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,1114.646328463626,-6.604668508391569,965.6509576910989,977.2864540530907,21.50707670596239,1,0.9781066877555497,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,1124.872441568797,-6.664591775437884,965.456910245061,977.2864540530907,21.701124152000375,1,0.9779091717894388,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,1135.0985546739678,-6.724502996183446,965.2629212840914,977.2864540530907,21.895113112969966,1,0.9777117156460148,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,1145.3246677791387,-6.784402174260549,965.06899078469,977.2864540530907,22.08904361237137,1,0.977514319301122,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,1155.5507808843097,-6.844289313300351,964.875118723368,977.2864540530907,22.28291567369331,1,0.9773169827306164,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,1165.7768939894804,-6.9041644169319625,964.6813050766483,977.2864540530907,22.47672932041303,1,0.9771197059103667,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,1176.0030070946514,-6.964027488782449,964.4875498210657,977.2864540530907,22.6704845759956,1,0.9769224888162531,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,1186.2291201998223,-7.023878532478875,964.2938529331667,977.2864540530907,22.864181463894624,1,0.9767253314241685,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,1196.455233304993,-7.083717551645805,964.1002143895099,977.2864540530907,23.057820007551413,1,0.9765282337100177,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,1206.681346410164,-7.14354454990621,963.9066341666652,977.2864540530907,23.251400230396143,1,0.9763311956497179,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,1216.907459515335,-7.203359530882381,963.7131122412143,977.2864540530907,23.444922155847053,1,0.9761342172191981,0
